forecast_execution_date_ept,forecast_date,region,total_outages_mw,planned_outages_mw,maintenance_outages_mw,forced_outages_mw
12/23/2016 12:00:00 AM,12/24/2016 12:00:00 AM,PJM RTO,15732,3875,6328,5529
12/23/2016 12:00:00 AM,12/24/2016 12:00:00 AM,Western,10625,2176,4387,4062
12/23/2016 12:00:00 AM,12/25/2016 12:00:00 AM,Mid Atlantic - Dominion,4364,1405,1842,1117
12/23/2016 12:00:00 AM,12/25/2016 12:00:00 AM,PJM RTO,13012,3581,6184,3247
12/23/2016 12:00:00 AM,12/25/2016 12:00:00 AM,Western,8648,2176,4342,2130
12/23/2016 12:00:00 AM,12/26/2016 12:00:00 AM,Mid Atlantic - Dominion,3495,1405,1351,739
12/23/2016 12:00:00 AM,12/26/2016 12:00:00 AM,PJM RTO,9813,3581,4296,1936
12/23/2016 12:00:00 AM,12/26/2016 12:00:00 AM,Western,6318,2176,2945,1197
12/23/2016 12:00:00 AM,12/27/2016 12:00:00 AM,Mid Atlantic - Dominion,4600,1405,2456,739
12/23/2016 12:00:00 AM,12/27/2016 12:00:00 AM,PJM RTO,10946,3581,5507,1858
12/23/2016 12:00:00 AM,12/27/2016 12:00:00 AM,Western,6346,2176,3051,1119
12/23/2016 12:00:00 AM,12/28/2016 12:00:00 AM,Mid Atlantic - Dominion,5015,1405,2871,739
12/23/2016 12:00:00 AM,12/28/2016 12:00:00 AM,PJM RTO,11143,3581,5896,1666
12/23/2016 12:00:00 AM,12/28/2016 12:00:00 AM,Western,6128,2176,3025,927
12/23/2016 12:00:00 AM,12/29/2016 12:00:00 AM,Mid Atlantic - Dominion,4568,1405,2460,703
12/23/2016 12:00:00 AM,12/29/2016 12:00:00 AM,PJM RTO,10059,3253,5176,1630
12/23/2016 12:00:00 AM,12/29/2016 12:00:00 AM,Western,5491,1848,2716,927
12/22/2016 12:00:00 AM,12/22/2016 12:00:00 AM,Mid Atlantic - Dominion,5657,1799,1119,2739
