Day,Location,Type,Hour,IsDuplicateHour,LMP,LossLMP,CongestionLMP
2019-11-15,51292,Public,13,,27.950992,0.312993,-0.352001
2019-11-15,51292,Public,14,,27.452529,0.254236,-0.461707
2019-11-15,51292,Public,15,,27.373478,0.354021,0.369457
2019-11-15,51292,Public,16,,27.424158,0.381028,0.37313
2019-11-15,51292,Public,17,,30.262678,0.501875,0.490803
2019-11-15,51292,Public,18,,38.821328,0.673722,1.177606
2019-11-15,51292,Public,19,,35.029991,0.532897,1.657094
2019-11-15,51292,Public,20,,33.487414,0.457021,1.850393
2019-11-15,51292,Public,21,,30.685433,0.378777,1.146656
2019-11-15,51292,Public,22,,29.809332,0.442754,1.216578
2019-11-15,51292,Public,23,,27.15135,0.27939,1.09196
2019-11-15,51292,Public,24,,26.167357,-0.032056,0.949413
2019-11-15,33092371,Public,1,,21.129477,-1.127011,-4.073512
2019-11-15,33092371,Public,2,,20.237688,-1.201879,-4.560433
2019-11-15,33092371,Public,3,,19.756331,-1.169222,-4.964447
2019-11-15,33092371,Public,4,,19.604501,-1.143513,-5.121986
2019-11-15,33092371,Public,5,,19.549427,-1.228812,-5.751761
2019-11-15,33092371,Public,6,,21.207001,-1.284967,-6.458032
2019-11-15,33092371,Public,7,,25.75267,-2.023003,-13.814327
2019-11-15,33092371,Public,8,,29.612122,-1.983291,-13.874587
2019-11-15,33092371,Public,9,,32.459406,-1.305544,-1.99505
2019-11-15,33092371,Public,10,,32.286729,-1.075644,0.472373
2019-11-15,33092371,Public,11,,31.448731,-0.633526,0.642257
2019-11-15,33092371,Public,12,,29.861035,-0.533305,0.70434
2019-11-15,33092371,Public,13,,27.865548,-0.469683,0.345231
2019-11-15,33092371,Public,14,,27.222353,-0.382941,-0.054706
2019-11-15,33092371,Public,15,,26.030435,-0.583345,-0.03622
2019-11-15,33092371,Public,16,,25.653731,-0.597656,-0.418613
2019-11-15,33092371,Public,17,,27.356701,-0.813304,-1.099995
2019-11-15,33092371,Public,18,,34.310575,-0.862899,-1.796526
2019-11-15,33092371,Public,19,,30.670915,-0.616334,-1.552751
2019-11-15,33092371,Public,20,,28.974365,-0.622845,-1.58279
2019-11-15,33092371,Public,21,,24.848743,-0.532876,-3.778381
2019-11-15,33092371,Public,22,,23.355778,-0.581357,-4.212865
2019-11-15,33092371,Public,23,,20.446217,-0.408707,-4.925076
2019-11-15,33092371,Public,24,,20.473085,-0.375927,-4.400988
2019-11-15,34508503,Public,1,,28.356538,0.804645,1.221893
2019-11-15,34508503,Public,2,,28.06439,0.770448,1.293942
2019-11-15,34508503,Public,3,,28.076924,0.824142,1.362782
2019-11-15,34508503,Public,4,,28.093929,0.847182,1.376747
2019-11-15,34508503,Public,5,,29.322921,0.795526,1.997395
2019-11-15,34508503,Public,6,,33.216495,1.042284,3.224211
2019-11-15,34508503,Public,7,,48.771503,1.822097,5.359406
2019-11-15,34508503,Public,8,,54.502813,2.037337,6.995476
2019-11-15,34508503,Public,9,,41.064953,1.669866,3.635087
2019-11-15,34508503,Public,10,,37.412002,1.592251,2.929751
2019-11-15,34508503,Public,11,,35.720556,1.829386,2.45117
2019-11-15,34508503,Public,12,,33.507183,1.585109,2.232074
2019-11-15,34508503,Public,13,,30.968304,1.513128,1.465176
2019-11-15,34508503,Public,14,,30.485705,1.509721,1.315984
2019-11-15,34508503,Public,15,,29.447567,1.242777,1.55479
2019-11-15,34508503,Public,16,,29.525791,1.31806,1.537731
2019-11-15,34508503,Public,17,,32.0438,1.298345,1.475455
2019-11-15,34508503,Public,18,,40.982138,2.013437,1.998701
2019-11-15,34508503,Public,19,,37.077228,1.888546,2.348682
2019-11-15,34508503,Public,20,,35.589409,1.895289,2.51412
2019-11-15,34508503,Public,21,,33.270145,1.836921,2.273224
2019-11-15,34508503,Public,22,,31.959027,1.603337,2.20569
2019-11-15,34508503,Public,23,,28.629106,1.665352,1.183754
2019-11-15,34508503,Public,24,,27.703925,1.681838,0.772087
2019-11-15,34964545,Public,1,,27.708752,0.62597,0.752782
2019-11-15,34964545,Public,2,,27.473953,0.680726,0.793227
2019-11-15,34964545,Public,3,,27.550131,0.68015,0.979981
2019-11-15,34964545,Public,4,,27.570495,0.711888,0.988607
2019-11-15,34964545,Public,5,,28.248834,0.777696,0.941138
2019-11-15,34964545,Public,6,,30.651249,0.756929,0.94432
2019-11-15,34964545,Public,7,,46.143958,1.127803,3.426155
2019-11-15,34964545,Public,8,,51.51023,1.297163,4.743067
2019-11-15,34964545,Public,9,,38.287352,0.739672,1.78768
2019-11-15,34964545,Public,10,,34.132902,0.334118,0.908784
2019-11-15,34964545,Public,11,,32.725157,0.327114,0.958043
2019-11-15,34964545,Public,12,,30.243639,0.243947,0.309692
2019-11-15,34964545,Public,13,,28.303743,0.140523,0.17322
2019-11-15,34964545,Public,14,,27.707664,0.119081,-0.071417
2019-11-15,34964545,Public,15,,27.233615,0.122121,0.461494
2019-11-15,34964545,Public,16,,27.271359,0.210842,0.390517
2019-11-15,34964545,Public,17,,29.92998,0.268258,0.391722
2019-11-15,34964545,Public,18,,38.222391,0.357803,0.894588
2019-11-15,34964545,Public,19,,34.498118,0.418902,1.239216
2019-11-15,34964545,Public,20,,33.033679,0.463262,1.390417
2019-11-15,34964545,Public,21,,30.523536,0.370826,0.99271
2019-11-15,34964545,Public,22,,29.601396,0.34234,1.109056
2019-11-15,34964545,Public,23,,27.010922,0.239461,0.991461
2019-11-15,34964545,Public,24,,26.201126,0.074186,0.87694
2019-11-15,51293,Public,1,,27.417214,1.132223,-0.045009
2019-11-15,51293,Public,2,,27.123621,1.03859,0.085031
2019-11-15,51293,Public,3,,26.664262,0.947417,-0.173155
2019-11-15,51293,Public,4,,26.538601,0.916317,-0.247716
2019-11-15,51293,Public,5,,27.413463,1.055853,-0.17239
2019-11-15,51293,Public,6,,28.238153,1.137387,-1.849234
2019-11-15,51293,Public,7,,38.689323,1.496656,-4.397333
2019-11-15,51293,Public,8,,39.084578,1.368504,-7.753926
2019-11-15,51293,Public,9,,30.049889,0.697615,-6.407726
2019-11-15,51293,Public,10,,28.748335,0.53311,-4.674775
2019-11-15,51293,Public,11,,26.768639,0.069664,-4.741025
2019-11-15,51293,Public,12,,25.658868,0.134125,-4.165257
2019-11-15,51293,Public,13,,24.965801,0.14276,-3.166959
2019-11-15,51293,Public,14,,25.077836,0.010869,-2.593033
2019-11-15,51293,Public,15,,25.128226,0.275976,-1.79775
2019-11-15,51293,Public,16,,25.496616,0.208719,-1.382103
2019-11-15,51293,Public,17,,28.2876,0.474386,-1.456786
2019-11-15,51293,Public,18,,35.030329,0.692267,-2.631938
2019-11-15,51293,Public,19,,29.651816,0.359481,-3.547665
2019-11-15,51293,Public,20,,27.515333,0.257626,-3.922293
2019-11-15,51293,Public,21,,28.329536,0.170872,-1.001336
2019-11-15,51293,Public,22,,27.818023,0.415801,-0.747778
2019-11-15,51293,Public,23,,25.919931,0.118285,0.021646
2019-11-15,51293,Public,24,,25.404356,-0.011384,0.16574
2019-11-15,37737283,Public,1,,26.396962,-0.64816,0.715122
2019-11-15,37737283,Public,2,,26.131149,-0.595211,0.72636
2019-11-15,37737283,Public,3,,26.145068,-0.544686,0.799754
2019-11-15,37737283,Public,4,,26.145017,-0.566105,0.841122
2019-11-15,37737283,Public,5,,26.751219,-0.570623,0.791842
2019-11-15,37737283,Public,6,,29.281099,-0.585393,0.916492
2019-11-15,37737283,Public,7,,42.494451,-0.569682,1.474133
2019-11-15,37737283,Public,8,,46.745848,-0.435059,1.710907
2019-11-15,37737283,Public,9,,36.751277,-0.30446,1.295737
2019-11-15,37737283,Public,10,,33.836238,-0.178701,1.124939
2019-11-15,37737283,Public,11,,32.597621,-0.187627,1.345248
2019-11-15,37737283,Public,12,,30.569172,-0.236997,1.116169
2019-11-15,37737283,Public,13,,28.391898,-0.181552,0.58345
2019-11-15,37737283,Public,14,,27.635396,-0.14229,0.117686
2019-11-15,37737283,Public,15,,26.7862,-0.143127,0.279327
2019-11-15,37737283,Public,16,,26.733913,-0.18071,0.244623
2019-11-15,37737283,Public,17,,29.41444,-0.299475,0.443915
2019-11-15,37737283,Public,18,,37.29056,-0.331196,0.651756
2019-11-15,37737283,Public,19,,33.182911,-0.293535,0.636446
2019-11-15,37737283,Public,20,,31.625034,-0.287462,0.732496
2019-11-15,37737283,Public,21,,29.666719,-0.26672,0.773439
2019-11-15,37737283,Public,22,,28.828242,-0.284328,0.96257
2019-11-15,37737283,Public,23,,26.362668,-0.247332,0.83
2019-11-15,37737283,Public,24,,25.762569,-0.237893,0.750462
2019-11-15,51295,Public,1,,26.834731,0.478457,0.026274
2019-11-15,51295,Public,2,,26.469069,0.31985,0.149219
2019-11-15,51295,Public,3,,26.057149,0.209091,-0.041942
2019-11-15,51295,Public,4,,25.910426,0.148806,-0.10838
2019-11-15,51295,Public,5,,26.578411,0.110374,-0.061963
2019-11-15,51295,Public,6,,27.513314,0.061534,-1.49822
2019-11-15,51295,Public,7,,36.91595,-0.17218,-4.50187
2019-11-15,51295,Public,8,,38.147469,-0.538304,-6.784227
2019-11-15,51295,Public,9,,30.050599,-0.194957,-5.514444
2019-11-15,51295,Public,10,,28.679447,-0.053608,-4.156945
2019-11-15,51295,Public,11,,26.691904,-0.499515,-4.248581
2019-11-15,51295,Public,12,,25.51101,-0.314623,-3.864367
2019-11-15,51295,Public,13,,24.787751,-0.304746,-2.897503
2019-11-15,51295,Public,14,,24.87051,-0.401955,-2.387535
2019-11-15,51295,Public,15,,24.996421,-0.10117,-1.552409
2019-11-15,51295,Public,16,,25.305862,-0.174688,-1.18945
2019-11-15,51295,Public,17,,28.152029,0.098053,-1.216024
2019-11-15,51295,Public,18,,34.72065,-0.107909,-2.141441
2019-11-15,51295,Public,19,,29.590174,-0.390553,-2.859273
2019-11-15,51295,Public,20,,27.571162,-0.447485,-3.161353
2019-11-15,51295,Public,21,,27.943133,-0.488454,-0.728413
2019-11-15,51295,Public,22,,27.24116,-0.414199,-0.494641
2019-11-15,51295,Public,23,,25.384613,-0.565734,0.170347
2019-11-15,51295,Public,24,,24.984367,-0.539844,0.274211
2019-11-15,51296,Public,1,,26.691992,0.151809,0.210183
2019-11-15,51296,Public,2,,26.375411,0.06484,0.310571
2019-11-15,51296,Public,3,,26.20877,0.021824,0.296946
2019-11-15,51296,Public,4,,26.089125,-0.032242,0.251367
2019-11-15,51296,Public,5,,26.867835,-0.010911,0.348746
2019-11-15,51296,Public,6,,29.273278,-0.017266,0.340544
2019-11-15,51296,Public,7,,42.666226,-0.074126,1.150352
2019-11-15,51296,Public,8,,45.006338,-0.27703,-0.186632
2019-11-15,51296,Public,9,,34.277684,-0.203429,-1.278887
2019-11-15,51296,Public,10,,31.299313,-0.071808,-1.518879
2019-11-15,51296,Public,11,,29.434171,-0.433215,-1.572614
2019-11-15,51296,Public,12,,36.787653,-0.319497,7.41715
2019-11-15,51296,Public,13,,36.140558,-0.269294,8.419852
2019-11-15,51296,Public,14,,40.036108,-0.351291,12.727399
2019-11-15,51296,Public,15,,26.433201,-0.134985,-0.081814
2019-11-15,51296,Public,16,,26.20707,-0.193364,-0.269566
2019-11-15,51296,Public,17,,29.098734,-0.018782,-0.152484
2019-11-15,51296,Public,18,,36.441278,-0.231051,-0.297671
2019-11-15,51296,Public,19,,31.8539,-0.408024,-0.578076
2019-11-15,51296,Public,20,,30.008695,-0.45064,-0.720665
2019-11-15,51296,Public,21,,29.135675,-0.489389,0.465064
2019-11-15,51296,Public,22,,28.058464,-0.39953,0.307994
2019-11-15,51296,Public,23,,25.797833,-0.477734,0.495567
2019-11-15,51296,Public,24,,25.255233,-0.507371,0.512604
2019-11-15,1709725933,Public,1,,26.53,-0.78,0.98
2019-11-15,1709725933,Public,2,,26.34,-0.73,1.07
2019-11-15,1709725933,Public,3,,26.39,-0.69,1.19
2019-11-15,1709725933,Public,4,,26.33,-0.65,1.11
2019-11-15,1709725933,Public,5,,27.11,-0.74,1.32
2019-11-15,1709725933,Public,6,,29.8,-0.78,1.63
2019-11-15,1709725933,Public,7,,42.43,-1.21,2.05
2019-11-15,1709725933,Public,8,,47.68,-1.23,3.44
2019-11-15,1709725933,Public,9,,36.91,-0.84,1.99
2019-11-15,1709725933,Public,10,,33.45,-0.76,1.32
2019-11-15,1709725933,Public,11,,32.48,-0.5,1.54
2019-11-15,1709725933,Public,12,,30.62,-0.53,1.46
2019-11-15,1709725933,Public,13,,28.09,-0.51,0.61
2019-11-15,1709725933,Public,14,,27.71,-0.47,0.52
2019-11-15,1709725933,Public,15,,27.03,-0.58,0.96
2019-11-15,1709725933,Public,16,,26.99,-0.53,0.85
2019-11-15,1709725933,Public,17,,29.14,-0.69,0.56
2019-11-15,1709725933,Public,18,,37.04,-0.78,0.85
2019-11-15,1709725933,Public,19,,33.25,-0.52,0.93
2019-11-15,1709725933,Public,20,,31.83,-0.44,1.09
2019-11-15,1709725933,Public,21,,29.77,-0.4,1.01
2019-11-15,1709725933,Public,22,,29.06,-0.42,1.33
2019-11-15,1709725933,Public,23,,26.48,-0.2,0.9
2019-11-15,1709725933,Public,24,,25.9,-0.13,0.78
2019-11-15,51297,Public,1,,26.533039,0.208167,-0.005128
2019-11-15,51297,Public,2,,26.213384,0.093294,0.12009
2019-11-15,51297,Public,3,,25.769933,-0.016246,-0.103821
2019-11-15,51297,Public,4,,25.639965,-0.056909,-0.173126
2019-11-15,51297,Public,5,,26.390694,-0.026391,-0.112915
2019-11-15,51297,Public,6,,27.157044,-0.124241,-1.668715
2019-11-15,51297,Public,7,,35.993262,-0.557338,-5.0394
2019-11-15,51297,Public,8,,37.102528,-0.776137,-7.591335
2019-11-15,51297,Public,9,,29.35138,-0.531502,-5.877118
2019-11-15,51297,Public,10,,28.199511,-0.326838,-4.363651
2019-11-15,51297,Public,11,,26.347468,-0.647224,-4.445308
2019-11-15,51297,Public,12,,25.25761,-0.458566,-3.973824
2019-11-15,51297,Public,13,,24.581564,-0.409299,-2.999137
2019-11-15,51297,Public,14,,24.692032,-0.503344,-2.464624
2019-11-15,51297,Public,15,,24.73098,-0.271479,-1.647541
2019-11-15,51297,Public,16,,25.04584,-0.357054,-1.267106
2019-11-15,51297,Public,17,,27.672419,-0.272682,-1.324899
2019-11-15,51297,Public,18,,34.002385,-0.608344,-2.359271
2019-11-15,51297,Public,19,,28.900599,-0.774162,-3.165239
2019-11-15,51297,Public,20,,26.890188,-0.790722,-3.49909
2019-11-15,51297,Public,21,,27.549302,-0.759407,-0.851291
2019-11-15,51297,Public,22,,26.989626,-0.553597,-0.606777
2019-11-15,51297,Public,23,,25.266975,-0.618712,0.105687
2019-11-15,51297,Public,24,,24.859769,-0.618121,0.22789
2019-11-15,51300,Public,1,,25.960805,-0.836063,0.466868
2019-11-15,51300,Public,2,,25.79841,-0.738346,0.536756
2019-11-15,51300,Public,3,,25.869086,-0.603773,0.582859
2019-11-15,51300,Public,4,,25.61061,-0.82718,0.56779
2019-11-15,51300,Public,5,,26.32447,-0.845957,0.640427
2019-11-15,51300,Public,6,,28.795793,-0.954463,0.800256
