evaluated_at_datetime_utc,evaluated_at_datetime_ept,forecast_datetime_beginning_utc,forecast_datetime_beginning_ept,forecast_datetime_ending_utc,forecast_datetime_ending_ept,forecast_area,forecast_load_mw
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 11:00:00 AM,11/17/2019 6:00:00 AM,11/17/2019 12:00:00 PM,11/17/2019 7:00:00 AM,MID_ATLANTIC_REGION,28661
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 12:00:00 PM,11/17/2019 7:00:00 AM,11/17/2019 1:00:00 PM,11/17/2019 8:00:00 AM,MID_ATLANTIC_REGION,29335
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 1:00:00 PM,11/17/2019 8:00:00 AM,11/17/2019 2:00:00 PM,11/17/2019 9:00:00 AM,MID_ATLANTIC_REGION,29946
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 2:00:00 PM,11/17/2019 9:00:00 AM,11/17/2019 3:00:00 PM,11/17/2019 10:00:00 AM,MID_ATLANTIC_REGION,30137
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 3:00:00 PM,11/17/2019 10:00:00 AM,11/17/2019 4:00:00 PM,11/17/2019 11:00:00 AM,MID_ATLANTIC_REGION,29961
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 4:00:00 PM,11/17/2019 11:00:00 AM,11/17/2019 5:00:00 PM,11/17/2019 12:00:00 PM,MID_ATLANTIC_REGION,29801
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 5:00:00 PM,11/17/2019 12:00:00 PM,11/17/2019 6:00:00 PM,11/17/2019 1:00:00 PM,MID_ATLANTIC_REGION,29593
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 6:00:00 PM,11/17/2019 1:00:00 PM,11/17/2019 7:00:00 PM,11/17/2019 2:00:00 PM,MID_ATLANTIC_REGION,29398
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 7:00:00 PM,11/17/2019 2:00:00 PM,11/17/2019 8:00:00 PM,11/17/2019 3:00:00 PM,MID_ATLANTIC_REGION,29363
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 8:00:00 PM,11/17/2019 3:00:00 PM,11/17/2019 9:00:00 PM,11/17/2019 4:00:00 PM,MID_ATLANTIC_REGION,29719
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 9:00:00 PM,11/17/2019 4:00:00 PM,11/17/2019 10:00:00 PM,11/17/2019 5:00:00 PM,MID_ATLANTIC_REGION,30984
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 10:00:00 PM,11/17/2019 5:00:00 PM,11/17/2019 11:00:00 PM,11/17/2019 6:00:00 PM,MID_ATLANTIC_REGION,32791
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 11:00:00 PM,11/17/2019 6:00:00 PM,11/18/2019 12:00:00 AM,11/17/2019 7:00:00 PM,MID_ATLANTIC_REGION,33215
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/18/2019 12:00:00 AM,11/17/2019 7:00:00 PM,11/18/2019 1:00:00 AM,11/17/2019 8:00:00 PM,MID_ATLANTIC_REGION,33030
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/18/2019 1:00:00 AM,11/17/2019 8:00:00 PM,11/18/2019 2:00:00 AM,11/17/2019 9:00:00 PM,MID_ATLANTIC_REGION,32229
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/18/2019 2:00:00 AM,11/17/2019 9:00:00 PM,11/18/2019 3:00:00 AM,11/17/2019 10:00:00 PM,MID_ATLANTIC_REGION,30844
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/18/2019 3:00:00 AM,11/17/2019 10:00:00 PM,11/18/2019 4:00:00 AM,11/17/2019 11:00:00 PM,MID_ATLANTIC_REGION,29216
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/18/2019 4:00:00 AM,11/17/2019 11:00:00 PM,11/18/2019 5:00:00 AM,11/18/2019 12:00:00 AM,MID_ATLANTIC_REGION,27667
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/18/2019 5:00:00 AM,11/18/2019 12:00:00 AM,11/18/2019 6:00:00 AM,11/18/2019 1:00:00 AM,MID_ATLANTIC_REGION,26419
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/18/2019 6:00:00 AM,11/18/2019 1:00:00 AM,11/18/2019 7:00:00 AM,11/18/2019 2:00:00 AM,MID_ATLANTIC_REGION,25867
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/18/2019 7:00:00 AM,11/18/2019 2:00:00 AM,11/18/2019 8:00:00 AM,11/18/2019 3:00:00 AM,MID_ATLANTIC_REGION,25621
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/18/2019 8:00:00 AM,11/18/2019 3:00:00 AM,11/18/2019 9:00:00 AM,11/18/2019 4:00:00 AM,MID_ATLANTIC_REGION,25812
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/18/2019 9:00:00 AM,11/18/2019 4:00:00 AM,11/18/2019 10:00:00 AM,11/18/2019 5:00:00 AM,MID_ATLANTIC_REGION,26667
